COD_PAR;COD_PAR_INV;TALHAO;MATGEN;PARCELA;LEVANTAMENTO;ANO;IDADE;DAP;DENSIDADE;AREABASAL;ALTURA;ALTURADOMINANTE;VOLUMECOMERCIAL;VOLUMETOTAL;S2;S1;PR;Classe Idade;NMED;SEQMED;NV;VC/VT;
90103-65-02_22;90103-65-02_22_IFC 2011;90103-65-02;Pinus taeda;22;IFC 2011;2011;9,5;20,2;1538,9;2,6;18,5;17,3;416,5;444,8;54,9;86,3;275,3;9,0;2;1;3,5;0,94;
90103-65-02_22;90103-65-02_22_IFC 2014;90103-65-02;Pinus taeda;22;IFC 2014;2014;12,0;21,6;1439,0;2,8;18,9;18,6;445,5;469,8;54,2;98,8;292,6;12,0;2;2;3,1;0,95;
90103-66-02_19;90103-66-02_19_IFC 2011;90103-66-02;Pinus taeda;19;IFC 2011;2011;9,5;20,1;1493,6;2,5;18,3;18,6;397,8;424,2;42,3;89,0;266,5;9,0;2;1;3,5;0,94;
90103-66-02_19;90103-66-02_19_IFC 2014;90103-66-02;Pinus taeda;19;IFC 2014;2014;12,0;21,5;1454,8;2,9;19,0;20,2;448,8;473,9;66,6;96,9;285,3;12,0;2;2;3,1;0,95;
90103-679-02_1;90103-679-02_1_IFC 2011;90103-679-02;Pinus taeda;1;IFC 2011;2011;9,5;20,9;1419,0;2,6;17,1;17,1;379,9;403,2;50,6;80,4;248,9;9,0;2;1;3,5;0,94;
90103-679-02_1;90103-679-02_1_IFC 2014;90103-679-02;Pinus taeda;1;IFC 2014;2014;11,8;22,2;1359,1;2,8;19,2;19,7;450,4;473,6;74,1;97,9;278,4;12,0;2;2;2,9;0,95;
90103-681-02_3;90103-681-02_3_IFC 2011;90103-681-02;Pinus taeda;3;IFC 2011;2011;9,5;21,9;1339,1;2,6;17,2;16,8;394,5;418,4;83,9;83,5;227,1;9,0;2;1;3,2;0,94;
90103-681-02_3;90103-681-02_3_IFC 2014;90103-681-02;Pinus taeda;3;IFC 2014;2014;11,8;23,0;1319,1;2,9;19,2;20,1;478,7;500,7;128,3;95,8;254,7;12,0;2;2;2,6;0,96;
90103-687-02_4;90103-687-02_4_IFC 2011;90103-687-02;Pinus taeda;4;IFC 2011;2011;9,5;20,1;1357,8;2,4;16,7;16,8;340,5;365,1;59,1;69,9;211,5;9,0;2;1;3,7;0,93;
90103-687-02_4;90103-687-02_4_IFC 2014;90103-687-02;Pinus taeda;4;IFC 2014;2014;11,8;21,8;1338,4;2,8;18,8;18,9;435,6;458,8;111,7;78,2;245,7;12,0;2;2;2,9;0,95;
90103-688-02_5;90103-688-02_5_IFC 2011;90103-688-02;Pinus taeda;5;IFC 2011;2011;9,5;20,1;1658,9;2,8;17,1;18,3;421,4;449,7;58,6;81,0;281,9;9,0;2;1;3,7;0,94;
90103-688-02_5;90103-688-02_5_IFC 2014;90103-688-02;Pinus taeda;5;IFC 2014;2014;11,8;22,2;1558,9;3,2;19,3;20,7;535,1;560,1;116,8;112,8;305,6;12,0;2;2;2,8;0,96;
90103-69-00_1;90103-69-00_1_IFC 2011;90103-69-00;Pinus taeda;1;IFC 2011;2011;11,5;21,0;1578,9;2,8;17,5;19,0;419,0;447,2;26,3;78,7;314,1;11,0;2;1;3,5;0,94;
90103-69-00_1;90103-69-00_1_IFC 2014;90103-69-00;Pinus taeda;1;IFC 2014;2014;14,0;21,4;1538,9;2,9;19,6;19,3;463,7;491,3;35,0;84,1;344,7;14,0;2;2;3,1;0,94;
90103-697-02_14;90103-697-02_14_IFC 2011;90103-697-02;Pinus taeda;14;IFC 2011;2011;9,5;22,0;1299,1;2,8;17,1;16,2;412,2;433,7;124,6;76,4;211,3;9,0;2;1;3,0;0,95;
90103-697-02_14;90103-697-02_14_IFC 2014;90103-697-02;Pinus taeda;14;IFC 2014;2014;11,8;22,8;1199,2;2,8;19,3;20,2;448,8;468,8;134,3;79,4;235,1;12,0;2;2;2,6;0,96;
90103-698-02_15;90103-698-02_15_IFC 2011;90103-698-02;Pinus taeda;15;IFC 2011;2011;9,5;21,7;1459,0;3,0;17,3;17,0;432,4;458,1;106,9;80,4;245,1;9,0;2;1;3,2;0,94;
90103-698-02_15;90103-698-02_15_IFC 2014;90103-698-02;Pinus taeda;15;IFC 2014;2014;11,8;21,9;1399,0;2,9;19,2;21,6;471,5;496,3;118,5;83,4;269,5;12,0;2;2;2,8;0,95;
90103-70-00_2;90103-70-00_2_IFC 2011;90103-70-00;Pinus taeda;2;IFC 2011;2011;11,5;21,5;1339,1;2,6;17,6;19,9;378,2;403,2;49,3;72,0;256,9;11,0;2;1;3,3;0,94;
90103-70-00_2;90103-70-00_2_IFC 2014;90103-70-00;Pinus taeda;2;IFC 2014;2014;14,0;21,9;1219,2;2,4;19,8;20,9;397,5;419,6;59,5;75,4;262,6;14,0;2;2;2,9;0,95;
90103-706-02_19;90103-706-02_19_IFC 2011;90103-706-02;Pinus taeda;19;IFC 2011;2011;9,5;22,9;1319,1;3,1;17,4;17,2;421,9;445,2;112,1;79,9;229,9;9,0;2;1;3,0;0,95;
90103-706-02_19;90103-706-02_19_IFC 2014;90103-706-02;Pinus taeda;19;IFC 2014;2014;11,8;23,3;1299,1;2,9;19,5;19,7;485,1;507,7;133,5;97,3;254,4;12,0;2;2;2,6;0,96;
90103-707-02_18;90103-707-02_18_IFC 2011;90103-707-02;Pinus taeda;18;IFC 2011;2011;9,5;22,2;1396,6;3,0;17,5;18,0;430,0;455,0;101,8;91,4;236,8;9,0;2;1;3,1;0,95;
90103-707-02_18;90103-707-02_18_IFC 2014;90103-707-02;Pinus taeda;18;IFC 2014;2014;11,8;22,4;1338,4;2,9;19,5;20,7;466,8;488,3;100,6;99,1;267,1;12,0;2;2;2,7;0,96;
